Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
52,De'Aaron Fox,27,SAS,PG,17,17,578,0.446,0.535,0.274,0.493,0.819,0.537,0.257,0.339,96,98,76,91,105,93,106,81,-28.1,-24.2
53,Jalen Williams,23,OKC,SG,69,69,2237,0.484,0.533,0.365,0.537,0.789,0.573,0.256,0.291,104,98,101,99,101,99,105,69,-14.6,-7.6
54,Donovan Mitchell,28,CLE,SG,71,71,2232,0.443,0.512,0.368,0.531,0.823,0.575,0.274,0.48,95,94,102,98,106,100,113,114,-30.7,-3.7
55,Harrison Barnes,32,SAS,PF,82,82,2230,0.508,0.591,0.433,0.622,0.809,0.656,0.291,0.527,109,108,120,115,104,114,120,125,108.2,123
56,Julius Randle,30,MIN,PF,69,69,2226,0.485,0.555,0.344,0.542,0.806,0.593,0.357,0.334,104,102,95,100,103,103,147,79,-1.9,36.1
57,Amen Thompson,22,HOU,SF,69,42,2225,0.557,0.599,0.275,0.575,0.684,0.602,0.354,0.131,119,110,76,106,88,104,146,31,44,41.6
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.488,0.541,0.375,0.548,0.781,0.591,0.328,0.321,104,99,104,101,100,103,135,76,12.5,41.4
59,Desmond Bane,26,MEM,SG,69,68,2205,0.484,0.548,0.392,0.565,0.894,0.6,0.194,0.411,104,101,109,104,115,104,80,97,44.3,53.5
60,Naz Reid,25,MIN,C,80,17,2200,0.462,0.544,0.379,0.556,0.776,0.577,0.155,0.501,99,100,105,102,100,100,64,119,24.5,1.8
61,Tyus Jones,28,PHO,PG,81,58,2174,0.448,0.496,0.414,0.57,0.895,0.585,0.083,0.587,96,91,115,105,115,102,34,139,36.2,13
